Date,Open,High,Low,Close,Volume
1999-06-30,101.22,102.01,101.22,101.22,0
1999-09-30,101.22,101.22,87.57,87.57,0
1999-12-31,87.57,92.88,87.57,92.88,0
2000-03-31,92.88,92.88,87.03,87.03,0
2000-06-30,86.88,88.05,86.23,86.35,0
2000-09-30,85.64,86.78,71.76,71.84,0
2000-12-31,72.54,77.38,71.65,73.89,0
2001-03-31,74.17,75.31,67.25,68.75,0
2001-06-30,69.61,84.67,68.66,81.73,0
2001-09-30,80.0,83.71,68.68,69.6,0
2001-12-31,72.95,74.78,67.52,74.78,0
2002-03-31,74.78,76.71,68.42,68.77,0
2002-06-30,68.35,76.26,68.21,73.88,0
2002-09-30,73.88,75.87,66.6,68.37,0
2002-12-31,68.37,70.94,66.51,70.29,0
2003-03-31,70.29,73.54,69.31,69.34,0
2003-06-30,69.34,74.91,69.34,73.93,0
2003-09-30,75.3,75.3,67.76,69.33,0
2003-12-31,68.79,80.16,67.91,79.72,0
2004-03-31,81.13,87.17,75.94,87.17,0
2004-06-30,87.17,110.14,87.17,110.14,0
2004-09-30,110.14,110.14,98.97,100.61,0
2004-12-31,100.48,116.46,100.48,115.66,0
2005-03-31,115.67,123.88,114.56,123.88,0
2005-06-30,123.88,167.88,122.38,166.57,0
2005-09-30,152.32,156.42,149.41,156.09,0
2005-12-31,155.99,200.62,155.52,200.62,0
2006-03-31,200.62,272.38,200.62,266.23,0
2006-06-30,266.23,266.23,258.4,261.25,0
2006-09-30,261.25,265.23,235.88,258.15,0
2006-12-31,258.05,271.53,257.81,265.88,0
2007-03-31,265.88,294.8,264.47,291.84,0
2007-06-30,289.02,356.19,289.02,356.19,0
2007-09-30,350.55,480.54,350.55,463.8,0
2007-12-31,463.79,507.31,459.97,507.04,0
2008-03-31,509.75,577.58,509.75,530.04,0
2008-06-30,530.15,553.05,522.76,525.78,0
2008-09-30,525.78,540.13,418.11,418.11,0
2008-12-31,418.07,418.07,300.7,387.9,0
2009-03-31,387.9,387.9,354.67,354.67,0
2009-06-30,356.09,356.09,315.39,319.18,0
2009-09-30,319.19,353.74,319.19,353.16,0
2009-12-31,350.69,365.36,349.46,352.09,0
2010-03-31,364.13,400.92,351.33,400.56,0
2010-06-30,400.48,425.66,385.72,387.38,0
2010-09-30,388.07,398.65,380.8,398.57,0
2010-12-31,397.81,432.42,393.27,432.42,0
2011-03-31,433.66,512.07,424.98,461.87,0
2011-06-30,461.87,461.87,392.16,413.28,0
2011-09-30,413.21,413.21,349.92,355.03,0
2011-12-31,355.17,375.16,325.81,350.12,0
2012-03-31,350.41,371.33,350.22,368.37,0
2012-06-30,376.36,376.36,313.52,337.8,0
2012-09-30,337.8,352.98,335.75,352.98,0
2012-12-31,331.59,445.51,331.59,435.92,0
2013-03-31,423.53,498.03,423.53,475.32,0
2013-06-30,479.61,563.1,476.36,551.87,0
2013-09-30,549.34,559.15,528.79,547.07,0
2013-12-31,547.63,613.21,542.14,609.72,0
2014-03-31,608.33,710.61,608.33,675.16,0
2014-06-30,680.42,699.0,592.7,651.78,0
2014-09-30,648.79,705.65,643.87,679.17,0
2014-12-31,680.34,705.25,608.84,705.25,0
2015-03-31,692.34,754.89,684.55,731.71,0
2015-06-30,702.08,750.87,690.94,742.22,0
2015-09-30,741.65,884.61,740.78,826.42,0
2015-12-31,827.83,871.24,792.64,818.0,0
2016-03-31,823.26,838.25,766.89,813.71,0
2016-06-30,817.97,855.74,755.59,757.91,0
2016-09-30,758.21,774.7,716.31,741.55,0
2016-12-31,736.98,791.49,695.31,791.49,0
2017-03-31,759.72,790.94,748.53,778.81,0
2017-06-30,774.71,774.71,695.4,735.43,0
2017-09-30,717.26,740.23,693.05,700.83,0
2017-12-31,693.9,705.51,612.93,705.51,0
2018-03-31,687.23,697.23,639.9,683.25,0
2018-06-30,678.77,695.34,651.63,654.4,0
2018-09-30,653.8,658.88,588.44,593.82,0
2018-12-31,592.99,592.99,475.38,495.34,0
2019-03-31,496.75,598.73,496.75,582.96,0
2019-06-30,581.51,587.6,497.1,502.03,0
2019-09-30,502.65,514.36,445.67,445.67,0
2019-12-31,445.73,496.08,415.82,495.38,0
2020-03-31,491.47,491.47,399.89,400.23,0
2020-06-30,398.85,433.23,389.92,397.23,0
2020-09-30,397.36,397.36,355.2,355.2,0
2020-12-31,354.74,416.12,328.64,410.47,0
2021-03-31,396.96,405.41,351.61,403.75,0
2021-06-30,402.0,456.98,401.89,425.2,0
2021-09-30,422.55,458.58,414.16,440.0,0
2021-12-31,444.65,454.95,434.41,448.85,0
2022-03-31,449.36,528.59,446.66,520.31,0
2022-06-30,515.88,522.36,467.16,467.66,0
2022-09-30,465.96,478.22,461.87,470.98,0
2022-12-31,464.91,489.2,449.79,489.2,0
2023-03-31,507.12,507.12,478.9,484.18,0
2023-06-30,483.5,489.95,463.16,472.37,0
2023-09-30,473.53,522.9,473.53,504.25,0
2023-12-31,500.39,537.79,498.78,531.47,0
2024-03-31,524.86,532.03,509.79,528.76,0
2024-06-30,528.64,584.92,527.96,578.59,0
2024-09-30,577.24,728.35,577.24,716.6,0
2024-12-31,711.34,764.06,698.56,749.94,0
2025-03-31,763.98,811.78,695.87,722.85,0
2025-06-30,733.94,762.66,695.4,749.68,0
2025-09-30,733.9,736.77,701.48,727.42,0
2025-12-31,732.25,758.06,703.56,727.76,0
