Date,Open,High,Low,Close,Volume
1999-06-21,101.22,102.01,101.22,102.01,0
1999-06-28,102.01,102.01,102.01,102.01,0
1999-07-05,101.22,101.22,99.8,99.8,0
1999-07-12,99.01,99.01,92.84,93.8,0
1999-07-19,93.23,93.23,90.16,90.38,0
1999-07-26,90.11,91.92,90.11,91.92,0
1999-08-02,90.9,92.26,90.4,92.26,0
1999-08-09,91.12,91.12,90.82,90.82,0
1999-08-16,90.62,90.65,90.33,90.33,0
1999-08-23,88.8,88.8,88.29,88.29,0
1999-08-30,88.29,88.29,87.61,87.61,0
1999-09-06,87.61,87.61,87.61,87.61,0
1999-09-13,87.61,87.61,87.61,87.61,0
1999-09-20,87.61,87.61,87.61,87.61,0
1999-09-27,87.61,87.61,87.57,87.57,0
1999-10-04,87.57,87.57,87.57,87.57,0
1999-10-11,87.57,88.14,87.57,88.14,0
1999-10-18,88.53,88.53,88.53,88.53,0
1999-10-25,88.57,88.73,88.57,88.73,0
1999-11-01,88.7,88.7,88.7,88.7,0
1999-11-08,88.7,88.7,88.57,88.57,0
1999-11-15,88.81,88.81,88.81,88.81,0
1999-11-22,88.62,89.34,88.62,89.34,0
1999-11-29,89.82,89.82,89.54,89.54,0
1999-12-06,89.65,90.28,89.25,90.28,0
1999-12-13,90.79,90.79,89.71,89.71,0
1999-12-20,89.71,91.36,89.71,91.36,0
1999-12-27,91.69,91.69,91.65,91.65,0
2000-01-03,92.05,92.88,92.05,92.88,0
2000-01-10,92.88,92.88,92.28,92.88,0
2000-01-17,92.88,92.88,90.44,90.44,0
2000-01-24,90.44,90.44,89.65,89.65,0
2000-01-31,89.43,89.43,89.03,89.03,0
2000-02-07,89.02,89.03,88.95,88.95,0
2000-02-14,88.94,88.94,88.94,88.94,0
2000-02-21,88.83,88.83,88.64,88.64,0
2000-02-28,88.67,88.67,88.48,88.48,0
2000-03-06,88.47,88.74,88.45,88.45,0
2000-03-13,88.45,88.45,88.45,88.45,0
2000-03-20,88.45,88.45,88.45,88.45,0
2000-03-27,88.22,88.22,87.51,87.51,0
2000-04-03,87.27,87.27,86.88,86.88,0
2000-04-10,86.92,86.92,86.92,86.92,0
2000-04-17,86.92,87.09,86.47,86.47,0
2000-04-24,86.47,86.48,86.47,86.48,0
2000-05-01,86.39,86.39,86.31,86.31,0
2000-05-08,86.23,87.34,86.23,87.34,0
2000-05-15,87.97,87.97,87.97,87.97,0
2000-05-22,87.97,88.05,87.97,88.05,0
2000-05-29,87.89,87.89,86.46,86.46,0
2000-06-05,86.44,87.89,86.44,87.89,0
2000-06-12,86.47,87.89,86.47,87.89,0
2000-06-19,87.74,87.74,87.66,87.66,0
2000-06-26,87.66,87.66,86.35,86.35,0
2000-07-03,86.35,86.35,85.64,85.64,0
2000-07-10,85.64,86.19,85.64,86.19,0
2000-07-17,86.47,86.57,86.47,86.57,0
2000-07-24,86.78,86.78,85.34,85.34,0
2000-07-31,83.81,83.81,83.81,83.81,0
2000-08-07,80.93,80.93,80.93,80.93,0
2000-08-14,77.66,77.66,77.43,77.43,0
2000-08-21,74.52,74.52,74.28,74.28,0
2000-08-28,74.98,74.98,74.98,74.98,0
2000-09-04,74.68,74.76,74.68,74.76,0
2000-09-11,74.76,74.82,74.76,74.82,0
2000-09-18,74.92,74.92,74.34,74.34,0
2000-09-25,71.76,74.46,71.76,74.46,0
2000-10-02,71.84,72.54,71.84,72.54,0
2000-10-09,74.67,74.67,74.67,74.67,0
2000-10-16,73.27,73.27,72.35,72.35,0
2000-10-23,71.65,72.48,71.65,72.48,0
2000-10-30,77.38,77.38,74.53,74.53,0
2000-11-06,74.53,74.58,73.11,74.58,0
2000-11-13,74.58,74.58,73.17,73.17,0
2000-11-20,71.76,73.17,71.76,71.76,0
2000-11-27,71.76,73.17,71.76,73.17,0
2000-12-04,74.59,74.59,73.17,73.17,0
2000-12-11,71.77,74.17,71.77,72.59,0
2000-12-18,72.58,74.23,71.79,71.79,0
2000-12-25,72.79,73.28,72.79,73.28,0
2001-01-01,74.09,74.09,73.24,73.89,0
2001-01-08,74.17,74.17,73.89,73.89,0
2001-01-15,74.19,75.31,74.19,75.31,0
2001-01-22,73.78,73.78,72.91,72.91,0
2001-01-29,72.63,72.63,72.47,72.47,0
2001-02-05,72.47,72.47,72.47,72.47,0
2001-02-12,72.47,72.47,69.56,69.56,0
2001-02-19,69.04,69.04,68.77,68.77,0
2001-02-26,68.64,68.64,67.54,67.54,0
2001-03-05,67.54,67.7,67.54,67.7,0
2001-03-12,67.25,67.85,67.25,67.85,0
2001-03-19,67.96,67.99,67.96,67.99,0
2001-03-26,67.85,68.15,67.85,68.15,0
2001-04-02,68.44,69.61,68.44,69.61,0
2001-04-09,69.13,69.13,68.66,68.66,0
2001-04-16,68.81,68.89,68.81,68.89,0
2001-04-23,68.89,69.43,68.89,69.43,0
2001-04-30,69.44,69.47,69.44,69.47,0
2001-05-07,69.47,69.47,68.98,68.99,0
2001-05-14,68.98,69.1,68.98,69.1,0
2001-05-21,69.7,72.16,69.7,72.16,0
2001-05-28,72.16,82.0,72.16,82.0,0
2001-06-04,80.0,82.48,80.0,82.48,0
2001-06-11,82.48,84.67,82.48,83.87,0
2001-06-18,83.95,83.95,81.17,81.17,0
2001-06-25,78.63,78.63,78.62,78.62,0
2001-07-02,78.65,81.73,78.65,80.0,0
2001-07-09,80.0,83.71,80.0,83.71,0
2001-07-16,80.89,80.89,76.66,76.66,0
2001-07-23,76.66,76.66,70.97,70.97,0
2001-07-30,70.97,71.26,70.97,70.97,0
2001-08-06,70.41,72.39,70.41,72.39,0
2001-08-13,72.39,72.39,72.39,72.39,0
2001-08-20,69.56,72.16,69.56,72.16,0
