Date,Open,High,Low,Close,Volume
1999-12-31,101.22,102.01,87.57,92.88,0
2000-12-31,92.88,92.88,71.65,73.89,0
2001-12-31,74.17,84.67,67.25,74.78,0
2002-12-31,74.78,76.71,66.51,70.29,0
2003-12-31,70.29,80.16,67.76,79.72,0
2004-12-31,81.13,116.46,75.94,115.66,0
2005-12-31,115.67,200.62,114.56,200.62,0
2006-12-31,200.62,272.38,200.62,265.88,0
2007-12-31,265.88,507.31,264.47,507.04,0
2008-12-31,509.75,577.58,300.7,387.9,0
2009-12-31,387.9,387.9,315.39,352.09,0
2010-12-31,364.13,432.42,351.33,432.42,0
2011-12-31,433.66,512.07,325.81,350.12,0
2012-12-31,350.41,445.51,313.52,435.92,0
2013-12-31,423.53,613.21,423.53,609.72,0
2014-12-31,608.33,710.61,592.7,705.25,0
2015-12-31,692.34,884.61,684.55,818.0,0
2016-12-31,823.26,855.74,695.31,791.49,0
2017-12-31,759.72,790.94,612.93,705.51,0
2018-12-31,687.23,697.23,475.38,495.34,0
2019-12-31,496.75,598.73,415.82,495.38,0
2020-12-31,491.47,491.47,328.64,410.47,0
2021-12-31,396.96,458.58,351.61,448.85,0
2022-12-31,449.36,528.59,446.66,489.2,0
2023-12-31,507.12,537.79,463.16,531.47,0
2024-12-31,524.86,764.06,509.79,749.94,0
2025-12-31,763.98,811.78,695.4,727.76,0
