Date,Open,High,Low,Close,Volume
1999-06-30,101.22,102.01,101.22,101.22,0
1999-07-31,101.22,101.22,90.11,90.4,0
1999-08-31,92.26,92.26,87.61,87.61,0
1999-09-30,87.61,87.61,87.57,87.57,0
1999-10-31,87.57,88.73,87.57,88.7,0
1999-11-30,88.7,89.82,88.57,89.54,0
1999-12-31,89.65,92.88,89.25,92.88,0
2000-01-31,92.88,92.88,89.03,89.03,0
2000-02-29,89.02,89.03,88.48,88.48,0
2000-03-31,88.47,88.74,87.03,87.03,0
2000-04-30,86.88,87.09,86.31,86.31,0
2000-05-31,86.23,88.05,86.23,86.44,0
2000-06-30,87.89,87.89,86.35,86.35,0
2000-07-31,85.64,86.78,83.81,83.81,0
2000-08-31,80.93,80.93,74.28,74.68,0
2000-09-30,74.68,74.92,71.76,71.84,0
2000-10-31,72.54,77.38,71.65,74.53,0
2000-11-30,74.53,74.59,71.76,74.59,0
2000-12-31,73.17,74.23,71.77,73.89,0
2001-01-31,74.17,75.31,72.47,72.47,0
2001-02-28,72.47,72.47,67.54,67.54,0
2001-03-31,67.7,68.75,67.25,68.75,0
2001-04-30,69.61,69.61,68.66,69.47,0
2001-05-31,69.47,82.0,68.98,80.0,0
2001-06-30,82.48,84.67,78.62,81.73,0
2001-07-31,80.0,83.71,70.97,70.97,0
2001-08-31,70.41,72.39,69.56,72.39,0
2001-09-30,75.21,75.21,68.68,69.6,0
2001-10-31,72.95,72.95,67.78,68.21,0
2001-11-30,68.21,68.55,67.52,67.8,0
2001-12-31,67.8,74.78,67.8,74.78,0
2002-01-31,74.78,76.71,69.71,69.99,0
2002-02-28,71.12,71.12,68.42,69.16,0
2002-03-31,69.16,74.22,68.77,68.77,0
2002-04-30,68.35,71.26,68.21,70.16,0
2002-05-31,69.93,75.57,68.82,75.57,0
2002-06-30,74.86,76.26,72.03,73.88,0
2002-07-31,73.88,75.87,67.01,68.97,0
2002-08-31,68.42,69.83,66.88,66.88,0
2002-09-30,66.88,68.53,66.6,68.37,0
2002-10-31,68.37,68.61,66.74,66.96,0
2002-11-30,66.91,70.08,66.51,68.67,0
2002-12-31,68.67,70.94,67.56,70.29,0
2003-01-31,70.29,71.71,69.31,70.3,0
2003-02-28,70.45,73.54,69.87,73.54,0
2003-03-31,73.54,73.54,69.34,69.34,0
2003-04-30,69.34,73.11,69.34,71.14,0
2003-05-31,73.11,74.44,71.49,73.22,0
2003-06-30,74.1,74.91,73.5,73.93,0
2003-07-31,75.3,75.3,67.76,68.55,0
2003-08-31,68.55,69.96,68.2,69.17,0
2003-09-30,69.17,69.36,69.08,69.33,0
2003-10-31,68.79,69.9,67.91,69.32,0
2003-11-30,69.22,69.35,69.04,69.35,0
2003-12-31,69.35,80.16,69.08,79.72,0
2004-01-31,81.13,81.13,75.94,78.43,0
2004-02-29,78.43,85.76,78.43,85.76,0
2004-03-31,85.76,87.17,85.75,87.17,0
2004-04-30,87.17,95.64,87.17,95.64,0
2004-05-31,95.64,95.64,95.62,95.64,0
