Date,Open,High,Low,Close,Volume
1998-11-30,8180,8790.0,8000.0,8000,905
1998-12-31,8500,8500.0,8500.0,8500,95
1999-01-31,8500,8500.0,8500.0,8500,685
1999-02-28,9000,9500.0,9000.0,9300,10269
1999-03-31,9300,9500.0,9300.0,9500,380
1999-04-30,10000,10000.0,10000.0,10000,145
1999-06-30,9250,9250.0,9250.0,9250,110
1999-09-30,9250,9250.0,9250.0,9250,50
2001-03-31,8500,8500.0,8500.0,8500,10
2001-05-31,8500,8500.0,8500.0,8500,1
2001-07-31,7950,7950.0,7950.0,7950,125
2001-08-31,7895,7895.0,7895.0,7895,15
2002-03-31,7800,7800.0,7800.0,7800,18
2002-05-31,7410,7410.0,7410.0,7410,225
2002-07-31,7405,7405.0,7405.0,7405,63
2002-12-31,7000,7000.0,7000.0,7000,10399
2003-07-31,7000,7000.0,7000.0,7000,4
2003-08-31,7000,7000.0,7000.0,7000,254
2003-09-30,7000,7000.0,7000.0,7000,10
2003-10-31,6475,6475.0,6475.0,6475,46
2004-04-30,6475,6475.0,6475.0,6475,50
2004-07-31,6450,6450.0,6450.0,6450,100
2004-11-30,6450,6450.0,6450.0,6450,50
2004-12-31,6450,6450.0,6450.0,6450,1
2005-03-31,4630,4630.0,4630.0,4630,10
2005-05-31,4285,4285.0,4285.0,4285,10429
2005-06-30,3965,3965.0,3600.0,3600,62
2005-07-31,3600,3600.0,3600.0,3600,9
2005-08-31,3080,3080.0,3080.0,3080,65
2005-09-30,2900,2900.0,2445.0,2445,95
2005-10-31,2265,2265.0,1950.0,1950,595
2005-11-30,1950,2015.0,1805.0,2015,882
2005-12-31,2000,3000.0,2000.0,3000,221
2006-02-28,2495,2495.0,2495.0,2495,108
2006-03-31,2495,2495.0,2495.0,2495,5
2006-04-30,2495,2495.0,2495.0,2495,19
2006-05-31,2495,2495.0,2400.0,2400,50
2006-06-30,2220,2220.0,2100.0,2100,128
2006-08-31,2100,2100.0,2100.0,2100,12
2006-09-30,2100,2100.0,2100.0,2100,22
2006-10-31,2000,2000.0,2000.0,2000,130
2006-12-31,1850,1850.0,1500.0,1500,252
2007-01-31,1500,1500.0,1500.0,1500,213
2007-02-28,1500,1500.0,1500.0,1500,5
2007-03-31,1500,1500.0,1500.0,1500,2
2007-04-30,1500,1500.0,1500.0,1500,17
2007-05-31,1500,1500.0,1500.0,1500,120
2007-06-30,1500,1500.0,1500.0,1500,179
2007-07-31,1660,1910.0,1660.0,1910,367
2007-09-30,2200,2730.0,2200.0,2730,28
2007-10-31,2930,3250.0,2930.0,3250,59
2007-11-30,3610,6000.0,3610.0,6000,436
2007-12-31,6000,6000.0,5800.0,6000,483
2008-01-31,6000,6000.0,5550.0,5550,285
2008-02-29,5600,5950.0,5600.0,5950,56
2008-03-31,6005,6005.0,6005.0,6005,30
2008-04-30,6005,6460.0,6005.0,6010,282
2008-05-31,6010,6010.0,5500.0,5500,200
2008-06-30,5315,5315.0,5300.0,5300,159
2008-07-31,5500,5650.0,5500.0,5650,114
2008-08-31,6070,6505.0,6070.0,6505,122
2008-09-30,6600,6600.0,6500.0,6500,200
2008-10-31,6550,6560.0,6550.0,6560,830
2008-11-30,6600,6600.0,6600.0,6600,94
2008-12-31,6600,6600.0,6600.0,6600,36
2009-01-31,6600,6600.0,6600.0,6600,1
2009-04-30,6600,6600.0,6600.0,6600,5
2009-07-31,6600,6600.0,6595.0,6595,37
2009-08-31,6595,6595.0,6595.0,6595,5
2009-09-30,6500,6500.0,6500.0,6500,25
2009-12-31,6495,6495.0,6495.0,6495,8
2010-01-31,6000,6000.0,6000.0,6000,39
2010-02-28,5550,5550.0,5550.0,5550,27
2010-07-31,5000,5000.0,5000.0,5000,50
2010-08-31,5000,5000.0,5000.0,5000,71
2010-09-30,4635,4635.0,4635.0,4635,23
