Date,Open,High,Low,Close,Volume
1998-12-31,8180,8790.0,8000.0,8500,1000
1999-03-31,8500,9500.0,8500.0,9500,11334
1999-06-30,10000,10000.0,9250.0,9250,255
1999-09-30,9250,9250.0,9250.0,9250,50
2001-03-31,8500,8500.0,8500.0,8500,10
2001-06-30,8500,8500.0,8500.0,8500,1
2001-09-30,7950,7950.0,7895.0,7895,140
2002-03-31,7800,7800.0,7800.0,7800,18
2002-06-30,7410,7410.0,7410.0,7410,225
2002-09-30,7405,7405.0,7405.0,7405,63
2002-12-31,7000,7000.0,7000.0,7000,10399
2003-09-30,7000,7000.0,7000.0,7000,268
2003-12-31,6475,6475.0,6475.0,6475,46
2004-06-30,6475,6475.0,6475.0,6475,50
2004-09-30,6450,6450.0,6450.0,6450,100
2004-12-31,6450,6450.0,6450.0,6450,51
2005-03-31,4630,4630.0,4630.0,4630,10
2005-06-30,4285,4285.0,3600.0,3600,10491
2005-09-30,3600,3600.0,2445.0,2445,169
2005-12-31,2265,3000.0,1805.0,3000,1698
2006-03-31,2495,2495.0,2495.0,2495,113
2006-06-30,2495,2495.0,2100.0,2100,197
2006-09-30,2100,2100.0,2100.0,2100,34
2006-12-31,2000,2000.0,1500.0,1500,382
2007-03-31,1500,1500.0,1500.0,1500,220
2007-06-30,1500,1500.0,1500.0,1500,316
2007-09-30,1660,2730.0,1660.0,2730,395
2007-12-31,2930,6000.0,2930.0,6000,978
2008-03-31,6000,6005.0,5550.0,6005,371
2008-06-30,6005,6460.0,5300.0,5300,641
2008-09-30,5500,6600.0,5500.0,6500,436
2008-12-31,6550,6600.0,6550.0,6600,960
2009-03-31,6600,6600.0,6600.0,6600,1
2009-06-30,6600,6600.0,6600.0,6600,5
2009-09-30,6600,6600.0,6500.0,6500,67
2009-12-31,6495,6495.0,6495.0,6495,8
2010-03-31,6000,6000.0,5550.0,5550,66
2010-09-30,5000,5000.0,4635.0,4635,144
2010-12-31,4635,4635.0,3500.0,3500,81
2011-03-31,3500,3500.0,3220.0,3220,72
2011-06-30,3220,3220.0,2900.0,2900,181
2011-09-30,2900,2900.0,2600.0,2700,169
2011-12-31,2700,2700.0,2700.0,2700,28
2012-03-31,2700,3000.0,2700.0,3000,443
2012-06-30,3000,3705.0,3000.0,3705,215
2012-09-30,3705,3705.0,3705.0,3705,39
2012-12-31,3705,4270.0,3700.0,4000,273
2013-03-31,4000,10000.0,4000.0,10000,1379
2013-06-30,10000,11500.0,10000.0,11000,1995
2013-09-30,10175,10175.0,7820.0,7820,384
2013-12-31,7820,8200.0,6900.0,6900,461
2014-03-31,6900,8100.0,6900.0,8100,1005
2014-06-30,8120,8500.0,8100.0,8450,412
2014-09-30,8450,8450.0,8000.0,8000,74
2014-12-31,7990,7990.0,6845.0,6845,236
2015-03-31,6830,6830.0,5085.0,5090,1370
2015-06-30,5090,5090.0,4070.0,4100,1704
2015-09-30,4200,5700.0,4100.0,4850,7774
2015-12-31,4500,5160.0,3995.0,5100,1149
2016-03-31,5000,5375.0,4440.0,4440,742
2016-06-30,4770,6400.0,4770.0,6200,1491
2016-09-30,6100,6200.0,4750.0,5170,721
2016-12-31,5170,5170.0,3900.0,3900,364
2017-03-31,3895,4190.0,3700.0,3700,558
2017-06-30,3650,4000.0,3650.0,4000,213
2017-09-30,3800,4100.0,3560.0,3695,500
2017-12-31,3500,3715.0,3205.0,3205,253
2018-03-31,3205,3235.0,2775.0,3000,356
2018-06-30,3000,3330.0,2800.0,2900,431
2018-09-30,2900,2900.0,2595.0,2595,383
2018-12-31,2595,2595.0,2495.0,2500,190
2019-03-31,2495,2495.0,2395.0,2395,52
2019-06-30,2395,2395.0,2395.0,2395,11
