Date,Open,High,Low,Close,Volume
1998-11-02,8180,8180.0,8180.0,8180,680
1998-11-09,8790,8790.0,8200.0,8200,23
1998-11-30,8000,8000.0,8000.0,8000,202
1998-12-21,8500,8500.0,8500.0,8500,95
1999-01-11,8500,8500.0,8500.0,8500,208
1999-02-01,8500,8500.0,8500.0,8500,477
1999-02-08,9000,9000.0,9000.0,9000,10
1999-02-15,9300,9300.0,9300.0,9300,150
1999-02-22,9300,9300.0,9300.0,9300,3099
1999-03-01,9500,9500.0,9300.0,9300,7010
1999-03-08,9300,9300.0,9300.0,9300,5
1999-03-15,9300,9300.0,9300.0,9300,10
1999-03-29,9500,9500.0,9500.0,9500,355
1999-04-05,9500,10000.0,9500.0,10000,155
1999-06-14,9250,9250.0,9250.0,9250,110
1999-09-13,9250,9250.0,9250.0,9250,50
2001-04-02,8500,8500.0,8500.0,8500,10
2001-05-07,8500,8500.0,8500.0,8500,1
2001-07-23,7950,7950.0,7950.0,7950,125
2001-08-27,7895,7895.0,7895.0,7895,15
2002-03-11,7800,7800.0,7800.0,7800,18
2002-05-20,7410,7410.0,7410.0,7410,225
2002-07-22,7405,7405.0,7405.0,7405,63
2002-12-09,7000,7000.0,7000.0,7000,10399
2003-07-14,7000,7000.0,7000.0,7000,4
2003-08-25,7000,7000.0,7000.0,7000,217
2003-09-01,7000,7000.0,7000.0,7000,37
2003-09-15,7000,7000.0,7000.0,7000,10
2003-10-20,6475,6475.0,6475.0,6475,46
2004-05-03,6475,6475.0,6475.0,6475,50
2004-07-12,6450,6450.0,6450.0,6450,100
2004-11-08,6450,6450.0,6450.0,6450,50
2005-01-03,6450,6450.0,6450.0,6450,1
2005-03-28,4630,4630.0,4630.0,4630,10
2005-05-23,4285,4285.0,4285.0,4285,10429
2005-06-20,3965,3965.0,3965.0,3965,50
2005-06-27,3600,3600.0,3600.0,3600,12
2005-07-18,3600,3600.0,3600.0,3600,9
2005-08-29,3080,3080.0,3080.0,3080,65
2005-09-26,2900,2900.0,2850.0,2850,60
2005-10-03,2640,2640.0,2265.0,2265,45
2005-10-10,2100,2100.0,2100.0,2100,90
2005-10-24,1950,2100.0,1950.0,2100,335
2005-10-31,1950,1950.0,1950.0,1950,160
2005-11-14,1950,1950.0,1950.0,1950,113
2005-11-28,1950,1950.0,1805.0,1950,544
2005-12-05,2015,2015.0,2015.0,2015,225
2005-12-19,2000,2480.0,2000.0,2480,210
2005-12-26,3000,3000.0,3000.0,3000,11
2006-02-13,2495,2495.0,2495.0,2495,90
2006-02-27,2495,2495.0,2495.0,2495,18
2006-03-06,2495,2495.0,2495.0,2495,2
2006-03-27,2495,2495.0,2495.0,2495,2
2006-04-03,2495,2495.0,2495.0,2495,1
2006-05-01,2495,2495.0,2495.0,2495,19
2006-05-22,2495,2495.0,2495.0,2495,2
2006-05-29,2495,2495.0,2495.0,2495,40
2006-06-05,2400,2400.0,2400.0,2400,8
2006-06-12,2220,2220.0,2220.0,2220,100
2006-06-19,2100,2100.0,2100.0,2100,25
2006-07-03,2100,2100.0,2100.0,2100,3
2006-08-28,2100,2100.0,2100.0,2100,12
2006-09-11,2100,2100.0,2100.0,2100,22
2006-10-16,2000,2000.0,2000.0,2000,23
2006-10-23,2000,2000.0,2000.0,2000,57
2006-10-30,2000,2000.0,2000.0,2000,50
2006-12-18,1850,1850.0,1850.0,1850,100
2006-12-25,1600,1600.0,1600.0,1600,47
2007-01-01,1500,1500.0,1500.0,1500,105
2007-01-08,1500,1500.0,1500.0,1500,187
2007-01-29,1500,1500.0,1500.0,1500,26
2007-02-05,1500,1500.0,1500.0,1500,5
2007-03-26,1500,1500.0,1500.0,1500,2
2007-04-30,1500,1500.0,1500.0,1500,17
2007-06-04,1500,1500.0,1500.0,1500,120
2007-06-11,1500,1500.0,1500.0,1500,85
2007-06-25,1500,1500.0,1500.0,1500,5
2007-07-02,1500,1500.0,1500.0,1500,89
2007-07-09,1660,1660.0,1660.0,1660,311
2007-07-30,1910,1910.0,1910.0,1910,56
2007-09-17,2200,2200.0,2200.0,2200,10
2007-09-24,2365,2365.0,2365.0,2365,8
2007-10-01,2730,2730.0,2730.0,2730,10
2007-10-15,2930,2930.0,2930.0,2930,15
2007-10-22,3145,3250.0,3145.0,3250,44
2007-11-05,3610,3610.0,3610.0,3610,36
2007-11-12,4170,4815.0,4170.0,4815,245
2007-12-03,5600,6000.0,5600.0,6000,155
2007-12-10,6000,6000.0,5800.0,5900,418
2007-12-17,6000,6000.0,6000.0,6000,25
2007-12-24,6000,6000.0,6000.0,6000,40
2008-01-14,6000,6000.0,6000.0,6000,40
2008-02-04,5550,5600.0,5550.0,5600,254
2008-02-11,5950,5950.0,5950.0,5950,24
2008-02-18,5950,5950.0,5950.0,5950,1
2008-02-25,5950,5950.0,5950.0,5950,22
2008-03-17,6005,6005.0,6005.0,6005,30
2008-04-07,6005,6010.0,6005.0,6010,158
2008-04-28,6010,6460.0,6010.0,6010,123
2008-05-05,6010,6010.0,6010.0,6010,1
2008-05-12,6010,6010.0,6010.0,6010,30
2008-05-19,6005,6005.0,6005.0,6005,20
2008-05-26,6005,6005.0,5600.0,5600,130
2008-06-02,5500,5500.0,5500.0,5500,20
2008-06-09,5315,5315.0,5315.0,5315,55
2008-06-16,5315,5315.0,5305.0,5305,73
2008-06-23,5300,5300.0,5300.0,5300,11
2008-06-30,5300,5300.0,5300.0,5300,20
2008-07-07,5500,5500.0,5500.0,5500,75
2008-07-14,5500,5650.0,5500.0,5650,39
2008-08-11,6070,6500.0,6070.0,6500,20
2008-08-18,6505,6505.0,6505.0,6505,49
2008-09-01,6505,6600.0,6505.0,6600,63
2008-09-08,6500,6500.0,6500.0,6500,167
2008-09-15,6500,6500.0,6500.0,6500,20
