Date,Open,High,Low,Close,Volume
1998-12-31,8180,8790.0,8000.0,8500,1000
1999-12-31,8500,10000.0,8500.0,9250,11639
2001-12-31,8500,8500.0,7895.0,7895,151
2002-12-31,7800,7800.0,7000.0,7000,10705
2003-12-31,7000,7000.0,6475.0,6475,314
2004-12-31,6475,6475.0,6450.0,6450,201
2005-12-31,4630,4630.0,1805.0,3000,12368
2006-12-31,2495,2495.0,1500.0,1500,726
2007-12-31,1500,6000.0,1500.0,6000,1909
2008-12-31,6000,6600.0,5300.0,6600,2408
2009-12-31,6600,6600.0,6495.0,6495,81
2010-12-31,6000,6000.0,3500.0,3500,291
2011-12-31,3500,3500.0,2600.0,2700,450
2012-12-31,2700,4270.0,2700.0,4000,970
2013-12-31,4000,11500.0,4000.0,6900,4219
2014-12-31,6900,8500.0,6845.0,6845,1727
2015-12-31,6830,6830.0,3995.0,5100,11997
2016-12-31,5000,6400.0,3900.0,3900,3318
2017-12-31,3895,4190.0,3205.0,3205,1524
2018-12-31,3205,3330.0,2495.0,2500,1360
2019-12-31,2495,2495.0,2395.0,2395,63
